S0701_C01_001E,S0701_C01_005E,S0701_C01_007E,S0701_C01_011E,S0701_C01_041E,S0701_C01_035E,S0701_C01_037E,state,year,B06009_005E
2866584.0,387054.0,364467.0,36.7,206792.0,498750.0,381292.0,20,2014,381292.0
4357819.0,562906.0,613459.0,39.0,364156.0,1003583.0,386963.0,21,2014,386963.0
4593505.0,660444.0,603300.0,36.6,367032.0,1033528.0,463860.0,22,2014,463860.0
1317638.0,152283.0,201870.0,44.5,112406.0,310287.0,185890.0,23,2014,185890.0
5911235.0,827460.0,877068.0,38.7,338050.0,1043926.0,841315.0,24,2014,841315.0
6674907.0,928715.0,985071.0,39.9,459738.0,1161032.0,1077993.0,25,2014,1077993.0
9795659.0,1196312.0,1399671.0,40.1,767843.0,1980847.0,1105362.0,26,2014,1105362.0
5385219.0,750973.0,758907.0,38.4,358492.0,943377.0,834094.0,27,2014,834094.0
2957658.0,383751.0,380159.0,37.2,245643.0,585936.0,254250.0,28,2014,254250.0
5992195.0,794702.0,823321.0,39.0,468963.0,1279755.0,696669.0,29,2014,696669.0
1012169.0,128275.0,131523.0,40.1,82852.0,213165.0,135401.0,30,2014,135401.0
1855356.0,254597.0,236925.0,36.7,130483.0,333560.0,247729.0,31,2014,247729.0
2806170.0,405679.0,384352.0,37.9,206662.0,540814.0,291473.0,32,2014,291473.0
1314735.0,154599.0,209620.0,42.8,97215.0,265993.0,201723.0,33,2014,201723.0
8840346.0,1147338.0,1336370.0,39.9,530139.0,1729723.0,1415973.0,34,2014,1415973.0
2060189.0,276256.0,264028.0,37.7,166485.0,362284.0,206947.0,35,2014,206947.0
19528220.0,2845848.0,2787279.0,38.7,1336018.0,3599907.0,2651150.0,36,2014,2651150.0
9832152.0,1279666.0,1362793.0,38.8,805939.0,1772285.0,1239857.0,37,2014,1239857.0
729874.0,107993.0,91263.0,35.7,48902.0,133393.0,94873.0,38,2014,94873.0
11464891.0,1467370.0,1598371.0,39.8,862862.0,2666563.0,1301747.0,39,2014,1301747.0
3827288.0,527616.0,490295.0,36.8,293057.0,801435.0,405799.0,40,2014,405799.0
3927857.0,540740.0,507808.0,39.7,302077.0,666778.0,528064.0,41,2014,528064.0
12645888.0,1635951.0,1800577.0,41.1,944239.0,3220327.0,1554120.0,42,2014,1554120.0
1045791.0,138101.0,152889.0,40.2,79106.0,208366.0,131408.0,44,2014,131408.0
4780659.0,618537.0,646733.0,39.3,413651.0,989223.0,543917.0,45,2014,543917.0
842076.0,111603.0,106294.0,37.2,61732.0,170122.0,111108.0,46,2014,111108.0
6471445.0,854494.0,893373.0,39.1,558804.0,1473547.0,717801.0,47,2014,717801.0
26588600.0,3904730.0,3462983.0,34.7,1848098.0,4298854.0,3104847.0,48,2014,3104847.0
620898.0,72896.0,90001.0,43.1,48637.0,134352.0,91472.0,50,2014,91472.0
2894001.0,436363.0,307903.0,31.0,182982.0,391862.0,353832.0,49,2014,353832.0
8224054.0,1165651.0,1171247.0,38.2,554002.0,1382376.0,1173872.0,51,2014,1173872.0
6979369.0,1012757.0,943438.0,37.9,438404.0,1090724.0,1005685.0,53,2014,1005685.0
1831414.0,219419.0,250979.0,42.3,151361.0,532918.0,152434.0,54,2014,152434.0
5692727.0,732093.0,817343.0,39.6,428682.0,1244668.0,736544.0,55,2014,736544.0
577782.0,83555.0,72469.0,37.0,41016.0,106759.0,69557.0,56,2014,69557.0
,,,,,,,72,2014,
2959289.0,373921.0,375597.0,37.4,251582.0,605790.0,253036.0,28,2015,253036.0
6015580.0,796209.0,807305.0,38.9,467227.0,1269953.0,706922.0,29,2015,706922.0
1019646.0,128657.0,128947.0,40.4,84149.0,222399.0,144135.0,30,2015,144135.0
1869217.0,252652.0,231101.0,36.7,132772.0,331868.0,244556.0,31,2015,244556.0
2859489.0,411910.0,390850.0,38.2,194805.0,549151.0,304948.0,32,2015,304948.0
1318121.0,155315.0,205373.0,43.2,87433.0,267078.0,205513.0,33,2015,205513.0
8854363.0,1151980.0,1323526.0,40.1,537536.0,1757377.0,1437307.0,34,2015,1437307.0
2060441.0,272426.0,256724.0,37.9,165681.0,369807.0,198116.0,35,2015,198116.0
19570171.0,2875580.0,2760964.0,38.8,1309417.0,3615023.0,2727078.0,36,2015,2727078.0
9927547.0,1298130.0,1364407.0,38.8,808898.0,1785510.0,1277412.0,37,2015,1277412.0
745291.0,114100.0,88569.0,35.6,48363.0,135670.0,105625.0,38,2015,105625.0
11482142.0,1486363.0,1575665.0,39.8,845561.0,2664823.0,1329009.0,39,2015,1329009.0
3864908.0,535955.0,481745.0,36.8,293606.0,808375.0,421765.0,40,2015,421765.0
3985712.0,553310.0,517829.0,39.5,301123.0,654930.0,566244.0,41,2015,566244.0
12662192.0,1648641.0,1774180.0,41.2,900062.0,3174802.0,1611499.0,42,2015,1611499.0
1045062.0,143020.0,148812.0,40.2,83123.0,204295.0,141131.0,44,2015,141131.0
4839984.0,631579.0,651938.0,39.5,413281.0,977099.0,575843.0,45,2015,575843.0
848285.0,111923.0,104609.0,37.5,61067.0,175958.0,110562.0,46,2015,110562.0
6522259.0,865801.0,893939.0,39.2,538761.0,1482137.0,719980.0,47,2015,719980.0
27092848.0,3977864.0,3496526.0,34.9,1809099.0,4425654.0,3266266.0,48,2015,3266266.0
619952.0,70733.0,90388.0,43.6,48204.0,127127.0,97824.0,50,2015,97824.0
2947423.0,440506.0,307739.0,31.1,180356.0,421822.0,368302.0,49,2015,368302.0
8283737.0,1172805.0,1169438.0,38.2,539162.0,1399157.0,1209217.0,51,2015,1209217.0
7089143.0,1050364.0,948243.0,38.0,435388.0,1127649.0,1059707.0,53,2015,1059707.0
1823753.0,217874.0,246590.0,42.6,159382.0,529290.0,152256.0,54,2015,152256.0
5708201.0,725456.0,798893.0,39.9,418322.0,1223628.0,742544.0,55,2015,742544.0
